,Country,Region
1999,China,Asia (Ex. Near East)
2000,China,Asia (Ex. Near East)
2001,China,Asia (Ex. Near East)
2002,China,Asia (Ex. Near East)
2003,United States,Northern America
2004,Indonesia,Asia (Ex. Near East)
2005,Turkey,Near East
2006,Turkey,Near East
2007,India,Asia (Ex. Near East)
2008,Turkey,Near East
2009,Italy,Western Europe
2010,Italy,Western Europe
2011,Italy,Western Europe
2012,Italy,Western Europe
2013,Turkey,Near East
2014,United States,Northern America
2015,China,Asia (Ex. Near East)
2016,Japan,Asia (Ex. Near East)
2017,China,Asia (Ex. Near East)
2018,China,Asia (Ex. Near East)
2019,Argentina,Latin Amer. & Carib
2020,China,Asia (Ex. Near East)
2021,China,Asia (Ex. Near East)
2022,China,Asia (Ex. Near East)
2023,China,Asia (Ex. Near East)
2024,Thailand,Asia (Ex. Near East)
2025,Thailand,Asia (Ex. Near East)
2026,Thailand,Asia (Ex. Near East)
2027,Venezuela,Latin Amer. & Carib
2028,Hungary,Eastern Europe
2029,Hong Kong,Asia (Ex. Near East)
2030,China,Asia (Ex. Near East)
2031,United States,Northern America
2032,United States,Northern America
2033,Germany,Western Europe
2034,Russia,C.W. Of Ind. States
2035,United States,Northern America
2036,United States,Northern America
2037,China,Asia (Ex. Near East)
2038,India,Asia (Ex. Near East)
2039,United States,Northern America
2040,China,Asia (Ex. Near East)
2041,China,Asia (Ex. Near East)
2042,United Kingdom,Western Europe
2043,Japan,Asia (Ex. Near East)
2044,Denmark,Western Europe
2045,Thailand,Asia (Ex. Near East)
2046,Sweden,Western Europe
2047,Sweden,Western Europe
2048,Sweden,Western Europe
2049,India,Asia (Ex. Near East)
2050,United States,Northern America
2051,Russia,C.W. Of Ind. States
2052,Singapore,Asia (Ex. Near East)
2053,,
2054,China,Asia (Ex. Near East)
2055,United States,Northern America
2056,United States,Northern America
2057,,
2058,,
2059,United States,Northern America
2060,United States,Northern America
2061,United States,Northern America
2062,China,Asia (Ex. Near East)
2063,China,Asia (Ex. Near East)
2064,China,Asia (Ex. Near East)
2065,China,Asia (Ex. Near East)
2066,China,Asia (Ex. Near East)
2067,China,Asia (Ex. Near East)
2068,China,Asia (Ex. Near East)
2069,Sweden,Western Europe
2070,China,Asia (Ex. Near East)
2071,China,Asia (Ex. Near East)
2072,China,Asia (Ex. Near East)
2073,United States,Northern America
2074,United States,Northern America
2075,France,Western Europe
2076,India,Asia (Ex. Near East)
2077,Russia,C.W. Of Ind. States
2078,Russia,C.W. Of Ind. States
2079,United Kingdom,Western Europe
2080,Ireland,Western Europe
2081,Israel,Near East
2082,Philippines,Asia (Ex. Near East)
2083,Thailand,Asia (Ex. Near East)
2084,Germany,Western Europe
2085,Australia,Oceania
2086,Spain,Western Europe
2087,China,Asia (Ex. Near East)
2088,China,Asia (Ex. Near East)
2089,Russia,C.W. Of Ind. States
2090,United States,Northern America
2091,Russia,C.W. Of Ind. States
2092,Australia,Oceania
2093,United States,Northern America
2094,Germany,Western Europe
2095,Germany,Western Europe
2096,Germany,Western Europe
2097,Hong Kong,Asia (Ex. Near East)
2098,Russia,C.W. Of Ind. States
2099,,
2100,Japan,Asia (Ex. Near East)
2101,India,Asia (Ex. Near East)
2102,Canada,Northern America
2103,United States,Northern America
2104,Norway,Western Europe
2105,Russia,C.W. Of Ind. States
2106,Argentina,Latin Amer. & Carib
2107,Singapore,Asia (Ex. Near East)
2108,Indonesia,Asia (Ex. Near East)
2109,Indonesia,Asia (Ex. Near East)
2110,Malaysia,Asia (Ex. Near East)
2111,United States,Northern America
2112,United States,Northern America
2113,United States,Northern America
2114,Greece,Western Europe
2115,Turkey,Near East
2116,China,Asia (Ex. Near East)
2117,China,Asia (Ex. Near East)
2118,China,Asia (Ex. Near East)
2119,China,Asia (Ex. Near East)
2120,St. Kitts and Nevis,
2121,China,Asia (Ex. Near East)
2122,China,Asia (Ex. Near East)
2123,China,Asia (Ex. Near East)
2124,Turkey,Near East
2125,Hong Kong,Asia (Ex. Near East)
2126,China,Asia (Ex. Near East)
2127,China,Asia (Ex. Near East)
2128,India,Asia (Ex. Near East)
2129,Brazil,Latin Amer. & Carib
2130,United States,Northern America
2131,Thailand,Asia (Ex. Near East)
2132,China,Asia (Ex. Near East)
2133,Taiwan,Asia (Ex. Near East)
2134,Taiwan,Asia (Ex. Near East)
2135,China,Asia (Ex. Near East)
2136,,
2137,United States,Northern America
2138,Russia,C.W. Of Ind. States
2139,Canada,Northern America
2140,Ireland,Western Europe
2141,Ireland,Western Europe
2142,United States,Northern America
2143,France,Western Europe
2144,Japan,Asia (Ex. Near East)
2145,Russia,C.W. Of Ind. States
2146,Russia,C.W. Of Ind. States
2147,United States,Northern America
2148,China,Asia (Ex. Near East)
2149,Hong Kong,Asia (Ex. Near East)
2150,Brazil,Latin Amer. & Carib
2151,Australia,Oceania
2152,China,Asia (Ex. Near East)
2153,Japan,Asia (Ex. Near East)
2154,India,Asia (Ex. Near East)
2155,China,Asia (Ex. Near East)
2156,China,Asia (Ex. Near East)
2157,United States,Northern America
2158,Israel,Near East
2159,Germany,Western Europe
2160,,
2161,South Korea,
2162,Ukraine,C.W. Of Ind. States
2163,,
2164,Russia,C.W. Of Ind. States
2165,Russia,C.W. Of Ind. States
2166,United States,Northern America
2167,Israel,Near East
2168,China,Asia (Ex. Near East)
2169,United States,Northern America
2170,Australia,Oceania
2171,China,Asia (Ex. Near East)
2172,China,Asia (Ex. Near East)
2173,China,Asia (Ex. Near East)
2174,China,Asia (Ex. Near East)
2175,,
2176,United States,Northern America
2177,Chile,Latin Amer. & Carib
2178,Chile,Latin Amer. & Carib
2179,China,Asia (Ex. Near East)
2180,United States,Northern America
2181,India,Asia (Ex. Near East)
2182,Ireland,Western Europe
2183,Ukraine,C.W. Of Ind. States
2184,Russia,C.W. Of Ind. States
2185,United States,Northern America
2186,Canada,Northern America
2187,United States,Northern America
2188,United States,Northern America
2189,Thailand,Asia (Ex. Near East)
2190,United States,Northern America
2191,India,Asia (Ex. Near East)
2192,United States,Northern America
2193,Israel,Near East
2194,Germany,Western Europe
2195,China,Asia (Ex. Near East)
2196,Australia,Oceania
2197,United States,Northern America
2198,Thailand,Asia (Ex. Near East)
2199,Norway,Western Europe
2200,Germany,Western Europe
2201,China,Asia (Ex. Near East)
2202,Canada,Northern America
2203,United States,Northern America
2204,China,Asia (Ex. Near East)
2205,,
2206,China,Asia (Ex. Near East)
2207,China,Asia (Ex. Near East)
2208,China,Asia (Ex. Near East)
2209,China,Asia (Ex. Near East)
2210,China,Asia (Ex. Near East)
2211,Hong Kong,Asia (Ex. Near East)
2212,Turkey,Near East
